autonummering;Veldcode;IDToonW;sampling_unit_code;naam;SGO__km²_;SBZ;provincie;x;y;AfstandTot;RankingGRT;SGO;Volgorde;Jaar;jaar planning;monitoringsvolgorde;adres;afgedrukt?;kopies digitaal document opgemaakt;met 2;versie veldprotocol;waterranonkels;TypischeSoorten;datum veldbezoek;jaar monitoring;doelhabitat;invoerwijze;klasse;reden geen bemonstering/ongeschikt;opmerking;"Ingevoerd in INBOVEG:1=ja; 0=nee";user_reference;SchaduwRS8m;Meermaals bezocht per jaar;locatie SO of SA verschoven (xy aangepast tov origineel aangereikt meetpunt, volgens protocol);SchaduwBoom (uit inboveg);lengte duiker/brug (uit inboveg);lengte bodemplaat (uit inboveg);werk nodig;;;;;
23;GroNe_11;1600;1_4_1600;GROTE NETE;10-50;1;Antwerpen;211853,2;205980,8;21,45318;763510;>10;13;2;2016;5;Papenberg, Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/07/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,23;;nee;60;0;0;;;;;;
24;SchNe_01;1172;1_4_1172;SCHEPPELIJKE NETE;10-50;0;Antwerpen;205843,1;210444,9;10,59621;483446;>10;2;2;2016;5;Berkenbingel, Mol;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;4/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,48;;nee;10;0;0;;;;;;
25;Stiemer_01;1495;1_4_1495;STIEMER;<10;0;Limburg;230211,1;186888,4;7,967182;93650;<10;1;2;2016;nvt;;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;25/06/2015;2015;3260;analoog;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,79;;nee;70;0;0;;;;;;
26;Abeek_04;862;1_4_862;ABEEK;<10;1;Limburg;230652,9;195763,7;5,627937;4172754;<10;12;3;2017;1;Gestelstraat 91, 3670 Meeuwen-Gruitrode;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;2/06/2016;2016;gh;analoog;niet meetellen (2x bezocht);"tijdelijk ongeschikt: hoog waterpeil door zware neerslag; nogmaals opnieuw te bemonsteren";;0;#NAAM?;0,58;ja;nee;;;;;;;;;
27;Abeek_04;862;1_4_862;ABEEK;<10;1;Limburg;230652,9;195763,7;5,627937;4172754;<10;12;3;2017;4;Gestelstraat 91, 3670 Meeuwen-Gruitrode;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;8/08/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,58;ja;nee;30;0;0;;;;;;
28;AntGr_01;1143;1_4_1143;ANTITANKKANAAL;10-50;0;Antwerpen;153679,3;226383,3;14,39094;485342;>10;3;3;2017;samen met LN;Oude Galgenstraat 65, 2950 Kapellen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;18/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,09;;nee;5;0;0;;;;;;
29;BolBe_08_o;491;1_4_491;BOLLISENBEEK;10-50;1;Limburg;222733;204137,2;16,14374;1296146;>10;24;3;2017;6;Tichelovenstraat 61, 3990 Peer;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;8/08/2016;2016;ongekend (geen opname);analoog;niet meetellen (is vervangen);permanent ongeschikt: bodemplaat en overwelving;;1;#NAAM?;0,87;;nee;;15;20;;;;;;
30;BolBe_08;;;BOLLISENBEEK;10-50;;;222809,4161;204182,0791;;;;;;;;Tichelovenstraat 61, 3990 Peer;;;;;;;8/08/2016;2016;gh;;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,67;;ja;40;0;0;;;;;;
31;BriLo_05;876;1_4_876;BRISDILLOOP;<10;1;Antwerpen;210610,6;204817,2;11,43709;3286646;<10;10;3;2017;3;Emiel De Baecklaan, Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/07/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,30;;nee;30;5;0;;;;;;
32;Dommel_01;1105;1_4_1105;DOMMEL;>50;1;Limburg;223977,4516;218188,721;13,31221;1001746;>10;20;3;2017;6;Grote Heide 120, 3910 Neerpelt;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;5/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,11;;ja;1;0;0;;;;;;
33;Dommel_03;95;1_4_95;DOMMEL;>50;1;Limburg;224626,9;212537,6;15,73942;946450;>10;18;3;2017;6;Dommelweg 10, 3910 Neerpelt;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;5/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,42;;nee;25;0;1;;;;;;
34;Dommel_10;1117;1_4_1117;DOMMEL;>50;1;Limburg;223461,3;217154,1;14,31645;1018130;>10;21;3;2017;6;Vlasrootweg 61, 3910 Neerpelt;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;5/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,02;;nee;1;0;0;;;;;;
35;GouLo_03;822;1_4_822;GOUWBERGSE LOOP;<10;1;Antwerpen;181018,2;242889,4;5,805877;3144798;<10;9;3;2017;7;Strijbeek, Hoogstraten;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,13;;nee;5;0;0;;;;;;
36;GroNe_04;1568;1_4_1568;GROTE NETE;10-50;1;Antwerpen;209673,7;206272,4;18,28362;931702;>10;17;3;2017;5?;Vennen 1, 2490 Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;28/07/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;troebel water;1;#NAAM?;0,46;;nee;50;0;0;;;;;;
37;IttBe_01;516;1_4_516;ITTERBEEK;10-50;1;Limburg;239836,4;202029,4;1,407089;947026;>10;19;3;2017;2?;Tongerlostraat 35, 3960 Bree;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;27/07/2016;2016;3260;analoog;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,54;;nee;60;0;0;;;;;;
38;MunLo_01;1515;1_4_1515;MUNTLOOP;10-50;0;Antwerpen;175351,4;236847,3;6,346973;952670;>10;4;3;2017;7;Terbeeksestraat 1a, 2321 Hoogstraten;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/08/2016;2016;3260;analoog;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,55;;nee;50;0;0;;;;;;
39;Renne_03;386;1_4_386;RENNE;<10;1;Limburg;247048,2;207108;14,64982;3469714;<10;11;3;2017;2;Linsenstraat, 3640 Kinrooi;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;27/07/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
40;Renne_04;385;1_4_385;RENNE;<10;1;Limburg;247121,4;207167;19,44425;4256146;<10;13;3;2017;2;Linsenstraat, 3640 Kinrooi;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;27/07/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
41;Voer_08_o;31;1_4_31;VOER;<10;0;Limburg;252091,2;160123,9;13,95898;131970;<10;2;3;2017;8;Berg 17, 3790 Voeren;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;11/08/2016;2016;3260;analoog;niet meetellen (is vervangen);permanent ongeschikt: schaduw en bodemverharding;;1;#NAAM?;0,42;;nee;30;2;10;;;;;;
42;Voer_08;;;VOER;<10;;;252130,9613;160064,3254;;;;;;;;Berg 17, 3790 Voeren;;;;;;;11/08/2016;2016;3260;;mon3260;;;1;#NAAM?;0,15;;ja;3;6;0;;;;;;
43;WarBe_01;422;1_4_422;WARMBEEK;>50;1;Limburg;228633,4;214184;7,38981;1269266;>10;23;3;2017;6;Beemdstraat 47, 3910 Neerpelt;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;5/08/2016;2016;gh;analoog;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,74;;nee;80;0;0;;;;;;
44;Asbeek_01;1765;1_4_1765;ASBEEK;10-50;1;Antwerpen;207272,9;203969,3;17,06857;1480566;>10;26;4;2018;ok;Schootstraat Balen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;12/08/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,45;;nee;20;3;0;;;;;;
45;BolBe_02;1241;1_4_1241;BOLLISENBEEK;<10;1;Limburg;222900,8;199043,5;13,83173;6762706;<10;16;4;2018;8?;Lt.F.Limboschstraat 3990 Peer;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;12/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,35;;nee;20;7;0;;;;;;
46;GouLo_13;802;1_4_802;GOUWBERGSE LOOP;<10;1;Antwerpen;179582,2;243446,8;8,692171;6675294;<10;15;4;2018;7;Strijbeek 11 2328 Hoogstraten;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;19/08/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,09;;nee;2;0;0;;;;;;
47;KaaBe_01;772;1_4_772;KAATSBEEK;<10;0;Limburg;228295,4;179644,3;17,25971;351794;<10;3;4;2018;8?;Kempenstraat 3 3740 Bilzen;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;11/08/2016;2016;3260;analoog;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,91;;nee;60;0;0;;;;;;
48;LaaBe_01;1471;1_4_1471;LAAKBEEK;10-50;1;Antwerpen;183457,4;213567,3;15,28166;1496534;>10;28;4;2018;ok;Zielestraat 45, 2275 Lille;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;26/08/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
49;RodLo_02;1286;1_4_1286;RODE LOOP;10-50;1;Antwerpen;193866,7;216192,9;18,60492;1604598;>10;30;4;2018;ok;Heultjens 13 2460 Kasterlee;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;26/08/2016;2016;gh;analoog;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
50;SchNe_02;1189;1_4_1189;SCHEPPELIJKE NETE;10-50;0;Antwerpen;207415,4;210723,8;12,07697;1006710;>10;5;4;2018;ok;Paviljoenstraat 73 Mol;ja;nvt;(niet ingevuld);voorloper van versie 1.0;;;26/08/2016;2016;3260;analoog;mon3260;;;1;#NAAM?;0,29;;nee;1;0;2;;;;;;
51;WarBe_02;435;1_4_435;WARMBEEK;>50;1;Limburg;228575,5;214719,5;14,68733;1880594;>10;31;4;2018;ok;Oude Pastorijstraat Neerpelt;ja;nvt;ja;voorloper van versie 1.0;;;12/08/2016;2016;ongekend (geen opname);analoog;uitval (ontoegankelijk);"permanent ongeschikt: niet toegankelijk; onbereikbaar;  evt afspreken met eigenaars weekendverblijf?";;1;#NAAM?;0,64;;nee;;0;0;;;;;;
52;Maas_08;188;1_4_188;MAAS;>50;1;Limburg;248161,7;188823,1;9,919758;266578;>10;5;1;2015;1;Palmenhof, Maasmechelen;ja;ja;ja;versie 1.0;(ja);RanFlu;5/09/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
53;Maas_09;208;1_4_208;MAAS;>50;1;Limburg;247171,9;187154,8;7,909452;435538;>10;7;1;2015;1;Steenakkerstraat, Maasmechelen;ja;ja;ja;versie 1.0;(ja);RanFlu;5/09/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
54;Maas_10;191;1_4_191;MAAS;>50;1;Limburg;248134,1;188525,7;8,527377;790866;>10;15;2;2016;1;Palmenhof, Maasmechelen;ja;ja;ja;versie 1.0;(ja);RanFlu;5/09/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
55;Maas_18;1811;1_4_1811;MAAS;>50;1;Limburg;243005;176670,6;15,48955;1135858;>10;22;3;2017;1;Maasdijk 75, 3620 Lanaken;;ja;ja;versie 1.0;(ja);RanFlu;21/08/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
56;KleNe_07;1147;1_4_1147;KLEINE NETE;>50;1;Antwerpen;179280,9;208326,4;14,83521;1528790;>10;29;4;2018;6;Lenteheide 2, 2200 Herentals;ja;;ja;versie 1.0;nee ;Pperf;18/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,43;;nee;15;0;0;;;;;;
57;Maas_11;207;1_4_207;MAAS;>50;1;Limburg;247213,9;187245,6;16,27409;1484114;>10;27;4;2018;1;Steenakkerstraat, Maasmechelen;;ja;ja;versie 1.0;(ja);;5/09/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
58;Maas_19;1824;1_4_1824;MAAS;>50;1;Limburg;243401,5;177861;15,03958;1309170;>10;25;4;2018;1;Kerkhofstraat, 3620 Lanaken;;ja;ja;versie 1.0;(ja);;21/08/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
59;Renne_05;388;1_4_388;RENNE;<10;1;Limburg;246966,3;206935,5;11,88442;5042578;<10;14;4;2018;5;Linsenstraat, 3640 Kinrooi;ja;ja;nee;versie 1.0;nee;Pbercht;6/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
60;Renne_06;383;1_4_383;RENNE;<10;1;Limburg;247300,2;207244,4;6,867188;7401874;<10;17;4;2018;5;Linsenstraat, 3640 Kinrooi;ja;ja;nee;versie 1.0;nee;Pbercht;6/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
61;Abeek_03;368;1_4_368;ABEEK;<10;1;Limburg;230959,4;196931,7;17,62579;8417234;<10;21;5;2019;5;Schansdijk Meeuwen-Gruitrode;ja;ja;nee;versie 1.0;nee;Ppolyg;7/07/2017;2017;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,66;;nee;90;0;0;;;;;;
62;AntGr_03;1692;1_4_1692;ANTITANKKANAAL;<10;1;Antwerpen;167003,1;213204,3;6,636086;7550870;<10;18;5;2019;6;Goorstraat 8 2970 Ranst;ja;;ja;versie 1.0;nee;FontiAnt;18/07/2017;2017;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,30;;nee;50;0;0;klasse in inboveg niet correct;;;;;
63;Berwijn_03;348;1_4_348;BERWIJN;>50;1;Limburg;245152;161385,9;4,828103;2241970;>10;37;5;2019;8;Rue de la Berwinne 251, 3790 Fourons;ja;;ja;versie 1.0;(ja);RanunFlu;17/07/2017;2017;3260;digitaal;uitval (ongeschikt);permanent ongeschikt: schaduw;;1;#NAAM?;0,60;;nee;75;2;0;klasse in inboveg niet correct;;;;;
64;Dommel_09;1110;1_4_1110;DOMMEL;>50;1;Limburg;223798,6;217741,6;7,036944;2246930;>10;38;5;2019;7;Grote Heide 120, 3910 Neerpelt;ja;;ja;versie 1.0;nee;CalliHam, PotPol, PotBer;17/07/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,03;;nee;5;0;0;;;;;;
65;GouLo_09;815;1_4_815;GOUWBERGSE LOOP;<10;1;Antwerpen;180499,5;243103;18,15591;8469598;<10;22;5;2019;4;Strijbeek, Hoogstraten;ja;ja;nee;versie 1.0;ja;CalliHam en RanunBat;13/07/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,44;;nee;20;2;0;;;;;;
66;GroNe_05;1565;1_4_1565;GROTE NETE;10-50;1;Antwerpen;209496,4;206289,8;6,345343;1980278;>10;33;5;2019;1a;"Vennen 1, 2490 Balen
";ja;ja;mss;versie 1.0;ja;RanunBat ed;17/05/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,28;;nee;15;0;0;;;;;;
67;GroNe_10;1393;1_4_1393;GROTE NETE;>50;1;Antwerpen;199781,7;203276,8;8,218331;2133494;>10;34;5;2019;3;Grote Hoeve, Meerhout;ja;ja;ja;versie 1.0;ja;RanunBat, FontiAnt, CalliHam;2/06/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,02;;nee;5;0;0;;;;;;
68;KleNe_01;964;1_4_964;KLEINE NETE;>50;1;Antwerpen;197326,7;215148,9;14,93274;2192630;>10;35;5;2019;3;nabij Molendijk 31, 2470 Retie;ja;ja;ja;versie 1.0;ja;RanunPel, PotamPer;2/06/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,00;;nee;1;0;0;;;;;;
69;KleNe_03;603;1_4_603;KLEINE NETE;>50;1;Antwerpen;184630,4;208996;12,36536;2291670;>10;40;5;2019;6;nabij Langendonk 13, 2200 Herentals;ja;;ja;versie 1.0;nee;PotamPer;18/07/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,00;;nee;0;0;0;;;;;;
70;Renne_02;395;1_4_395;RENNE;<10;1;Limburg;246562,9;206416;5,635258;8319378;<10;20;5;2019;5;Linsenstraat, 3640 Kinrooi;ja;ja;nee;versie 1.0;nee;Pbercht;6/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,21;;nee;1;0;0;;;;;;
71;SchNe_03;1166;1_4_1166;SCHEPPELIJKE NETE;10-50;0;Antwerpen;205330,6;210333,1;18,57761;1370998;>10;6;5;2019;1c;Berkebossenlaan 9, mol;ja;ja;mss;versie 1.0;ja;Pberch, RaununPel, RanunBat;19/05/2017;2017;ongekend (geen opname);digitaal;niet meetellen (2x bezocht);tijdelijk ongeschikt: tijdelijk niet toegankelijk;;1;#NAAM?;0,42;ja;nee;;0;0;;;;;;
72;SchNe_03;1166;1_4_1166;SCHEPPELIJKE NETE;10-50;0;Antwerpen;205330,6;210333,1;18,57761;1370998;>10;6;5;2019;;;ja;ja;mss;versie 1.0;ja;Pberch, RaununPel, RanunBat;2/06/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,42;ja;nee;20;2;0;;;;;;
73;SchNe_08;1210;1_4_1210;SCHEPPELIJKE NETE;<10;0;Antwerpen;208897,1;211415;9,584057;408694;<10;4;5;2019;1e;nabij Blekestraat 80, 2400 Mol;ja;ja;nee;versie 1.0;ja;CalliHam, Pberch, RaununPel, RanunAqu, RanunBat;19/05/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,34;;nee;25;0;0;"code inboveg aanpassen (Pieter; CvS)";;;;;
74;Abeek_02;44;1_4_44;ABEEK;>50;1;Limburg;238208,5;208398,3;2,891417;2608274;>10;48;6;2020;7;Luysenstraat 2, 3960 Bree;ja;;ja;versie 1.0;nee;CalliHam;17/07/2017;2017;gh;digitaal;uitval (gh);;;1;#NAAM?;0,05;;nee;1;0;0;;;;;;
75;BosBe_02;55;1_4_55;BOSBEEK;>50;1;Limburg;242952,9;197998,7;11,28641;2369362;>10;42;6;2020;7;Ziepstraat 16, 3680 Maaseik;ja;;ja;versie 1.0;nee;CalliHam;17/07/2017;2017;3260;digitaal;mon3260;;;1;#NAAM?;0,02;;nee;3;5;0;;;;;;
76;GieBe_03;945;1_4_945;GIELISBEEK;<10;1;Limburg;228204,4;200694,2;16,8901;9844690;<10;26;6;2020;??? (5);Gielisheide 15, 3670 Meeuwen-Gruitrode;ja;ja;nee;versie 1.0;nee;PotamPol;7/07/2017;2017;gh;digitaal;uitval (gh);permanent ongeschikt: schaduw;;1;#NAAM?;0,83;;nee;80;0;0;;;;;;
